Focus,Model,Source,Contrast,Stage,Region as reported,Anatomical label at peak (MNI152),Side,x,y,z,Template space
F01,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Precuneus,Precuneus,L,-18,-61,21,Talairach/MNI discrepant
F02,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Lingual gyrus / cerebellum,"Lingual gyrus, cerebellum Crus I",R,28,-76,-12,Talairach/MNI discrepant
F03,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Precentral gyrus,Precentral gyrus,L,-36,-14,30,Talairach/MNI discrepant
F04,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Middle temporal gyrus,"Middle temporal gyrus, posterior",R,59,-45,-3,Talairach/MNI discrepant
F05,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Middle temporal gyrus,Middle occipital gyrus / angular gyrus,L,-38,-76,26,Talairach/MNI discrepant
F06,A (hypo),"Birn et al, 2017",BIR-A-hypo,Anticipation,Middle frontal gyrus,Middle frontal gyrus,R,30,20,49,Talairach/MNI discrepant
F07,A (hypo),"Casement et al, 2015",CAS-A-hypo,Anticipation,mPFC (BA10),Superior medial frontal gyrus (BA10),R,6,64,14,MNI
F08,A (hypo),"Casement et al, 2015",CAS-A-hypo,Anticipation,ACC / mPFC (BA24/32),"Superior medial frontal gyrus, dorsal ACC border",L,-14,34,38,MNI
F09,A (hypo),"Casement et al, 2015",CAS-A-hypo,Anticipation,ACC / mPFC,"Anterior cingulate cortex, caudate head border",R,20,34,10,MNI
F10,A (hypo),"Richter et al, 2019",RIC-O-hypo,Outcome / valuation,Ventral striatum,Ventral striatum / nucleus accumbens,R,12,14,-2,MNI
F11,A (hypo),"Richter et al, 2019",RIC-O-hypo,Outcome / valuation,Ventral striatum,Ventral striatum / nucleus accumbens,L,-10,12,-2,MNI
F12,A (hypo),"Richter et al, 2019",RIC-O-hypo,Outcome / valuation,Ventral tegmental area,Ventral tegmental area / midbrain,L,-6,-18,-14,MNI
F13,A (hypo),"Richter et al, 2019",RIC-O-hypo,Outcome / valuation,Hippocampus,"Hippocampus, posterior",R,24,-38,2,MNI
F14,A (hypo),"Aloi et al, 2024",ALO-L-hypo,Learning / RPE,Rostromedial PFC,Superior medial frontal gyrus,R,8,44,29,Talairach (converted)
F15,A (hypo),"Aloi et al, 2024",ALO-L-hypo,Learning / RPE,ACC / vmPFC,Anterior cingulate cortex,R,5,41,11,Talairach (converted)
F16,A (hypo),"Aloi et al, 2024",ALO-L-hypo,Learning / RPE,Dorsolateral PFC,"Superior frontal gyrus, rostral (BA10)",R,20,59,26,Talairach (converted)
F17,A (hypo),"Harms et al, 2018",HAR-O-hypo,Outcome / feedback,Middle frontal gyrus,Middle frontal gyrus,L,-48,22,38,Talairach (converted)
