Source,Region as reported,Anatomical label at peak (MNI152),Side,x,y,z,Model
"Birn et al., 2017",Precuneus,Precuneus,L,−18,−61,21,A (hypoactivation)
"Birn et al., 2017",Lingual gyrus / cerebellum,"Lingual gyrus, cerebellum Crus I",R,28,−76,−12,A (hypoactivation)
"Birn et al., 2017",Precentral gyrus,Precentral gyrus,L,−36,−14,30,A (hypoactivation)
"Birn et al., 2017",Middle temporal gyrus,"Middle temporal gyrus, posterior",R,59,−45,−3,A (hypoactivation)
"Birn et al., 2017",Middle temporal gyrus,Middle occipital gyrus / angular gyrus,L,−38,−76,26,A (hypoactivation)
"Birn et al., 2017",Middle frontal gyrus,Middle frontal gyrus,R,30,20,49,A (hypoactivation)
"Casement et al., 2015",mPFC (BA10),Superior medial frontal gyrus (BA10),R,6,64,14,A (hypoactivation)
"Casement et al., 2015",ACC / mPFC (BA24/32),"Superior medial frontal gyrus, dorsal ACC border",L,−14,34,38,A (hypoactivation)
"Casement et al., 2015",ACC / mPFC,"Anterior cingulate cortex, caudate head border",R,20,34,10,A (hypoactivation)
"Richter et al., 2019",Ventral striatum,Ventral striatum / nucleus accumbens,R,12,14,−2,A (hypoactivation)
"Richter et al., 2019",Ventral striatum,Ventral striatum / nucleus accumbens,L,−10,12,−2,A (hypoactivation)
"Richter et al., 2019",Ventral tegmental area,Ventral tegmental area / midbrain,L,−6,−18,−14,A (hypoactivation)
"Richter et al., 2019",Hippocampus,"Hippocampus, posterior",R,24,−38,2,A (hypoactivation)
"Aloi et al., 2024",Rostromedial PFC,Superior medial frontal gyrus,R,8,44,29,A (hypoactivation)
"Aloi et al., 2024",ACC / vmPFC,Anterior cingulate cortex,R,5,41,11,A (hypoactivation)
"Aloi et al., 2024",Dorsolateral PFC,"Superior frontal gyrus, rostral (BA10)",R,20,59,26,A (hypoactivation)
"Harms et al., 2018",Middle frontal gyrus,Middle frontal gyrus,L,−48,22,38,A (hypoactivation)
"Harms et al., 2018",Middle frontal gyrus,Middle frontal gyrus,R,46,30,32,A (hypoactivation)
"Harms et al., 2018",Cuneus,Cuneus,R,13,−93,16,A (hypoactivation)
"Harms et al., 2018",Cerebellum,"Cerebellum, lobule VI / Crus I",R,31,−59,−39,A (hypoactivation)
"Seitz et al., 2023",ACC / vmPFC / OFC,"Superior medial frontal gyrus, rostral ACC",R,4,58,−4,A (hypoactivation)
"Seitz et al., 2023",Middle / superior frontal gyrus,Superior frontal gyrus,L,−12,28,46,A (hypoactivation)
"Seitz et al., 2023",Insula / IFG / STG,"Anterior insula, IFG pars orbitalis",L,−36,28,−6,A (hypoactivation)
"Seitz et al., 2023",Insula / IFG / STG,Anterior insula,R,42,14,−10,A (hypoactivation)
"Gerin et al., 2017",Subthalamic nucleus / GP / lOFC / insula / thalamus,Subthalamic nucleus / substantia nigra,L,−12,−16,−8,A (hypoactivation)
"Gerin et al., 2017",lOFC / GP / insula / mOFC,Rostral middle frontal gyrus / lateral OFC,R,30,47,−8,A (hypoactivation)
"Gerin et al., 2017",Globus pallidus / VS / mOFC / lOFC,Dorsal caudate / putamen,R,18,−7,18,A (hypoactivation)
"Gerin et al., 2017",Insula / MTG / STG / dorsal striatum,Superior temporal gyrus / posterior insula,R,42,−25,−5,A (hypoactivation)
"Gerin et al., 2017",PCC / MTG / STG / calcarine,Middle temporal gyrus,L,−57,−31,−8,A (hypoactivation)
"Gerin et al., 2017",MTL / hippocampus,Posterior cingulate cortex,L,−6,−34,25,A (hypoactivation)
"DelDonno et al., 2019",Thalamus,Thalamus,L,−12,−32,14,B (hyperactivation)
"DelDonno et al., 2019",Midbrain,Midbrain,R,6,−14,−18,B (hyperactivation)
"DelDonno et al., 2019",Rolandic operculum / insula,Parietal operculum / posterior insula,L,−46,−22,22,B (hyperactivation)
"DelDonno et al., 2019",Medial frontal gyrus,Paracentral lobule / supplementary motor area,R,4,−30,62,B (hyperactivation)
"DelDonno et al., 2019",Cerebellum (anterior),"Cerebellum, lobules IV–V",R,24,−38,−24,B (hyperactivation)
"DelDonno et al., 2019",Midbrain,Dorsomedial thalamus,R,4,−14,20,B (hyperactivation)
"Yang et al., 2021",Precentral gyrus,"Middle temporal gyrus, anterior",R,49,−5,−26,B (hyperactivation)
"Yang et al., 2021",Middle frontal gyrus,Lateral OFC / IFG pars orbitalis,R,37,23,−24,B (hyperactivation)
"Yang et al., 2021",Anterior cingulate,"Anterior cingulate cortex, lateral extent",R,25,33,12,B (hyperactivation)
"Yang et al., 2021",Middle / superior frontal gyrus,Rostral middle frontal gyrus,R,27,47,−4,B (hyperactivation)
"Gerin et al., 2017",dmPFC / dlPFC (BA9),"Superior frontal gyrus, medial (BA9/10)",R,6,59,37,B (hyperactivation)
"Gerin et al., 2017",dACC / MCC / dmPFC / dlPFC / putamen,Dorsal anterior cingulate / midcingulate cortex,L,−9,8,31,B (hyperactivation)
"Gerin et al., 2017",Precuneus / PCC,Precuneus / posterior cingulate cortex,L,−12,−61,19,B (hyperactivation)
"Gerin et al., 2017",STG / supramarginal gyrus,Superior temporal gyrus / supramarginal gyrus,L,−60,−40,13,B (hyperactivation)
"Gerin et al., 2017",MCC / postcentral gyrus,Midcingulate cortex,L,−18,−34,37,B (hyperactivation)
"Gerin et al., 2017",Thalamus,Thalamus,L,−12,−22,3,B (hyperactivation)
